,OMRÅDE,CIVILSTAND,TID,INDHOLD
0,København,Ugift,2008,309661
1,København,Ugift,2008,311978
2,København,Ugift,2008,311868
3,København,Ugift,2022,424752
4,København,Ugift,2022,427556
5,København,Ugift,2022,427326
6,København,Gift/separeret,2008,128556
7,København,Gift/separeret,2008,128289
8,København,Gift/separeret,2008,128728
9,København,Gift/separeret,2022,149940
10,København,Gift/separeret,2022,149473
11,København,Gift/separeret,2022,150608
12,København,Enke/enkemand,2008,21555
13,København,Enke/enkemand,2008,21298
14,København,Enke/enkemand,2008,21066
15,København,Enke/enkemand,2022,14324
16,København,Enke/enkemand,2022,14287
17,København,Enke/enkemand,2022,14227
18,København,Fraskilt,2008,50089
19,København,Fraskilt,2008,50160
20,København,Fraskilt,2008,50024
21,København,Fraskilt,2022,55415
22,København,Fraskilt,2022,55496
23,København,Fraskilt,2022,55348
